Data,Brand,Device name,Base price,Discout,Bonus,Gift_Details,Gift_value
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 901 Galaxy S22 5G 128GB BLVDS (Purple),449890,399890,3998,"['Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZAAS (gray) 8,7""/32GB/4G', 'Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZSAS (silver) 8,7""/32GB/4G', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']","[99890, 99890, 89990, 89990, 89990, 89990]"
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 908 Galaxy S22 Ultra 5G 256GB BZGGS (Green),749890,579890,5798,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi 9A 32GB Granite Gray,59990,49990,4999
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi 10 2022 4/128GB Carbon Gray,99990,89990,899
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Pro 128GB (Silver),699990,659990,33000
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 135 Galaxy A13 64GB FLBVS (blue),119890,89990,8999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 901 Galaxy S22 5G 128GB BZKDS (Black),449890,399890,3998,"['Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZAAS (gray) 8,7""/32GB/4G', 'Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZSAS (silver) 8,7""/32GB/4G', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']","[99890, 99890, 89990, 89990, 89990, 89990]"
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Pro Max 256GB (Deep Purple),839990,799990,40000
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 256GB Midnight,599990,479990,4799
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Pro 1TB (Space Black),1049990,1049990,52500
06/02/2023,Apple,Телефон сотовый APPLE iPhone SE 2022 64GB Starlight,304990,304990,6099
06/02/2023,Huawei,Телефон сотовый HUAWEI P50 8/256GB (Черный) (ABR-LX9),449890,389890,38989
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi 10 4/64GB Sea Blue,89990,89990,1799
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Pro 1TB (Silver),1049990,1049990,52500
06/02/2023,Xiaomi,Телефон сотовый XIAOMI 12 12/256GB Gray,459990,399990,39999
06/02/2023,Realme,Телефон сотовый REALME GT Master (6/128GB) Grey,209990,149990,14999
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Pro 256GB (Silver),769990,729990,36500
06/02/2023,OPPO,Телефон сотовый OPPO A57s 4/64GB Starry Black,104990,104990,10499,['Чехол для телефона OPPO A57S Silicone Cover Transparent'],[990]
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 901 Galaxy S22 5G 256GB BLVGS (Purple),499890,429890,4298,"['Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZAAS (gray) 8,7""/32GB/4G', 'Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZSAS (silver) 8,7""/32GB/4G', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']","[99890, 99890, 89990, 89990, 89990, 89990]"
06/02/2023,HONOR,Телефон сотовый HONOR X9 (6/128GB) Ocean Blue,169990,169990,16999
06/02/2023,HONOR,Телефон сотовый HONOR 70 (8/128GB) Midnight Black,279990,279990,27999,"['Наушники для телефона HONOR Choice Earbuds X3 (Gray)', 'Наушники для телефона HONOR Choice Earbuds X3']","[26980, 26980]"
